Project ID,Project Title,Country,Country Code,Link,VF or Non-VF,Status of Prodoc,Notes,,,
4018,"Policy
Reforms and Market Transformation of the Energy Efficient Buildings Sector
of the I.R. Iran (EEEB)",Iran,IRN,https://open.undp.org/projects/00063735,Non-VF,Collected,,,,
4283,GTALCC,Malaysia,MYS,PIMS+,VF,Collected,,,Status,Definition
4602,Promotion of environmentally sustainable and climate-resilient grid/isolated grid-based hydroelectric electricity through an integrated approach in Sao Tome and Principe.,Sao Tome & Principe,STP,PIMS+,VF,Collected,,,Collected,It is already collected and uploaded to the sharing folder
4670,Urban NAMA,Kazakhstan,KAZ,PIMS+,VF,Collected,,,Requested,It has been requested to the country office or related institutions
4673,RE Market Transformation (NAMA),Indonesia,IDN,PIMS+,VF,Collected,,,On confirmation,It is being confirmed to the country office or related institutions
4685,Congo Micro-hydroelectricity,Congo,COG,PIMS+,VF,Collected,,,Unavailable,It is not available after confirmation
4690,Congo Kinshasa Microhydro,Dem. Rep. of the Congo,COD,PIMS+,VF,Collected,,,Unknown,It has not been checked yet
4899,CleanEnerg Cuba,Cuba,CUB,PIMS+,VF,Collected,,,,
4979,Benin NAPA LDCF 2,Benin,BEN,PIMS+,VF,Collected,,,,
4998,Grid-connected Small-Scale Photovoltaic Syste,Egypt,EGY,PIMS+,VF,Collected,,,,
5115,Benin Biomass Electricity Generation,Benin,BEN,PIMS+,VF,Collected,,,,
5143,SE4ALL,Equatorial Guinea,GNQ,PIMS+,VF,Collected,,,,
5188,Asunción Green City,Paraguay,PRY,PIMS+,VF,Collected,,,,
5194,DREAMS,Philippines,PHL,PIMS+,VF,Collected,,,,
5256,South Africa Wind Energy Project (Phase II),South Africa,ZAF,PIMS+,VF,Collected,,,,
5284,PV pumping systems for irrigation,Morocco,MAR,PIMS+,VF,Collected,,,,
5285,TEEEM - EE Motors,Turkey,TUR,PIMS+,VF,Collected,,,,
5299,Production of bio methane,Botswana,BWA,PIMS+,VF,Collected,,,,
5304,Urban Transport,Philippines,PHL,PIMS+,VF,Collected,,,,
5323,SEFM for Solar PV for Forest Villages,Turkey,TUR,PIMS+,VF,Collected,,,,
5331,Angola Charcoal,Angola,AGO,PIMS+ 5331,VF,Collected,,,,
