Project ID,Title,Link,Budget,Description,Beneficiary Category,Indicator,Baseline,Target,Notes,Donors,Gender (% female),VF or Non-VF,Tag,SEH Taxonomy,RISE Taxonomy,Flagship,Technology,Output ID,Country Code,Category,Country Name,m49,continent-region,sub-region,sids-region,un-member,undp-sids,un-region,Region,Economy,LDC,SIDS,LLDC,HDI,Direct Conversion Factor,Direct Beneficiaries,Output Category,Beneficiary Category Pre
117913,Résilience des communautés et des écosystèmes,http://open.undp.org/projects/00117913,3459600,"Provide access to solar energy for 3697 households, disaggregated by households led by men and women.",Clean Electricity,Nombre de ménages ayant accès à l’énergie solaire désagrégés par ménages diriogés par les hommes et les femmes,0,3697.5,"Nombre de ménages dirigés par les hommes: 650, nombre de ménages dirigés par les femmes: 200",UNDP,0.24,Non-VF,Just,Close the gap on energy access,Renewable Energy,,Solar,117913.0-1,TGO,,Togo,768,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,,Low,1,3697.5,Energy Access,Electricity Access
117913,Résilience des communautés et des écosystèmes,http://open.undp.org/projects/00117913,3459600,Increase the percentage of coal producers in targeted communities using efficient wood carbonization techniques with a yield of over 30% from 0 to 460. A total of 576 charcoal producers have been identified in 16 towns.,Other,Pourcentage des producteurs de charbon dans les localités cibles utilisant des techniques efficientes de carbonisation du bois avec un rendement supérieur à 30%,0,460,Il ya 576 productrices de chanbons qui ont été recensées dans 16 villages,UNDP,,Non-VF,,Close the gap on energy access,Clean Cooking,,,117913.0-2,TGO,,Togo,768,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,,Low,0,0,Other,nan
117913,Résilience des communautés et des écosystèmes,http://open.undp.org/projects/00117913,3459600,"Convert 460 female charcoal producers to alternative income-generating activities in 16 villages, as part of a project promoting local development and environmental management practices in rural communities.",Other,Pourcentatge des femmes productrices de charbon reconverties à d'autres activités génératrices de revenus,0,460,Il ya 576 productrices de chanbons qui ont été recensées dans 16 villages,UNDP,,Non-VF,,Close the gap on energy access,Clean Cooking,,,117913.0-3,TGO,,Togo,768,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,,Low,0,0,Other,nan
134793,Accès aux énergies renouvelables en milieu rural au Togo,http://open.undp.org/projects/00134793,1431552,"Provide access to solar energy for 1500 households in 10 villages thanks to the construction of 10 solar mini-power stations, including 1,200 households led by men and 300 led by women.",Clean Electricity,"Nombre de ménages dans les villages ciblés, y compris les ménages dirigés par les femmes, ayant accès à l’énergie solaire ",0,6525,"Nombre de ménages dirigés par les hommes: 1200, nombre de ménages dirigés par les femmes: 300",UNDP,0.2,Non-VF,,Close the gap on energy access,Renewable Energy,,Solar,134793.0-1,TGO,,Togo,768,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,,Low,1,6525,Energy Access,Electricity Access
134793,Accès aux énergies renouvelables en milieu rural au Togo,http://open.undp.org/projects/00134793,1431552,"Provide solar energy services to approximately 50,000 people in rural areas of Togo, accelerating access to renewable energy for economic empowerment.",Other,Nombre de personnes bénéficiant des services de l'énergie solaire,10,50000,Environ 50 000 personnes au Total,UNDP,,Non-VF,,Close the gap on energy access,,,,134793.0-2,TGO,,Togo,768,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,,Low,0,0,Other,nan
134793,Accès aux énergies renouvelables en milieu rural au Togo,http://open.undp.org/projects/00134793,1431552,"Create 250 new solar energy businesses in targeted villages, with a goal of at least 500 beneficiaries, as part of a project to accelerate access to renewable energy in rural areas.",Other,Nombre de nouvelles entreprises créées utilisant l’énergie solaire dans les villages ciblés par le projet,0,250,"5 entreprises par village bénéficiaire, représentant 500 personnes au moins",UNDP,,Non-VF,,Close the gap on energy access,,,,134793.0-3,TGO,,Togo,768,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,,Low,0,0,Other,Medium Enterprises
1002293,Projet de développement des terroirs villageois sobres en carbone et résilients aux changements climatiques,http://open.undp.org/projects/01002293,,"Provide access to solar energy for an additional 350 households led by women in eco-villages, in addition to the existing 200 households.",Clean Electricity,Nombre additionnel de ménages dirigés par les femmes dans les écovillages ayant accès à l’énergie,200,550,350 ménages additionnels dans les écovillages ont accès à l'énergie solaire en plus des 200 ménages déjà existants  ,UNDP,100,Non-VF,,,,,Solar,1002293.0-1,TGO,,Togo,768,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,,Low,1,350,Energy Access,Electricity Access
91204,Apoyo a la Modernización de La Gestión Ambiental,https://open.undp.org/projects/00082182,4202031,"Approve and implement 16 public environmental policies, plans, and/or programs to strengthen Panama's environmental management model and ensure sustainable development.",Transition Missing,"Number of public environmental policies, plans and/or programs approved and being implemented.",7,16,"The modernization of Panama's environmental management model aims to strengthen the capacities of the Ministry of Environment to ensure sustainable development, through 5 priorities.","UNDP (TRAC 4000) CLIMATE PROMISE (28708) - NDC Partnership (PAF)
Aes Panamá S.R.L
Federal Ministry For The Environment, Nature Conservation And Nuclear Safety
Pan-Government",,Non-VF,,Accelerating just energy transition,Overall,,,91204.0-1,PAN,,Panama,591,Americas,Latin America and the Caribbean,,yes,,GRULAC,RBLAC,High income,,,,Very High,0,0,Energy Transition,Policy or Regulatory Framework
133871,Beyond Recovery COVID19 Energy,"https://www.undp.org/es/panama/noticias/dos-aguas-y-un-proyecto-de-energia-solar-para-alcanzar-energia-sostenible

https://open.undp.org/projects/00133871",473000,"Implement a photovoltaic (PV) solar microgrid system for productive use in a community in the Panama Canal Hydrographic Basin, promoting new models of rural electrification in isolated areas.",Solar,IRRF: 2.1.1.1 Country has targets for low emission and climate-resilient development ,0,1,"Adoption of a photovoltaic (PV) solar microgrid system for productive use in one of the communities in the Panama Canal Hydrographic Basin, with a gender approach","UNDP (TRAC 4001) Donor 00012
",,Non-VF,,Accelerating just energy transition,,,Solar,133871.0-1,PAN,,Panama,591,Americas,Latin America and the Caribbean,,yes,,GRULAC,RBLAC,High income,,,,Very High,17500,17500,Energy Transition,Energy (MW added)
133871,Beyond Recovery COVID19 Energy,"https://www.undp.org/es/panama/noticias/dos-aguas-y-un-proyecto-de-energia-solar-para-alcanzar-energia-sostenible

https://open.undp.org/projects/00133871",473000,"Implement a microgrid for productive use in a community in the Canal Basin, promoting new models of rural electrification in isolated areas.",Transition Missing,IRRF: 2.1.1.2 Country has public-private partnerships at national level to improve the enabling framework for economic diversification and green growth ,0,1,,,,Non-VF,,Accelerating just energy transition,Overall,,,133871.0-2,PAN,,Panama,591,Americas,Latin America and the Caribbean,,yes,,GRULAC,RBLAC,High income,,,,Very High,0,0,Energy Transition,Policy or Regulatory Framework
