,Project ID,Project Title,Budget,Country,Country Code,Link,Donors,VF or Non-VF,Output Count,Project Description
0,117913.0,Résilience des communautés et des écosystèmes,3459600.0,Togo,TGO,http://open.undp.org/projects/00117913,UNDP,Non-VF,3,
1,134793.0,Accès aux énergies renouvelables en milieu rural au Togo,1431552.0,Togo,TGO,http://open.undp.org/projects/00134793,UNDP,Non-VF,3,
2,1002293.0,Projet de développement des terroirs villageois sobres en carbone et résilients aux changements climatiques,,Togo,TGO,http://open.undp.org/projects/01002293,UNDP,Non-VF,1,
3,91204.0,Apoyo a la Modernización de La Gestión Ambiental,4202031.0,Panama,PAN,https://open.undp.org/projects/00082182,"UNDP (TRAC 4000) CLIMATE PROMISE (28708) - NDC Partnership (PAF)
Aes Panamá S.R.L
Federal Ministry For The Environment, Nature Conservation And Nuclear Safety
Pan-Government",Non-VF,1,
4,133871.0,Beyond Recovery COVID19 Energy,473000.0,Panama,PAN,"https://www.undp.org/es/panama/noticias/dos-aguas-y-un-proyecto-de-energia-solar-para-alcanzar-energia-sostenible

https://open.undp.org/projects/00133871","UNDP (TRAC 4001) Donor 00012
",Non-VF,2,
5,6613,Africa Mini-grids Program,1363947.0,Zambia,ZMB,https://co.pims.undp.org/project/view?id=6613,GEF,VF,3,
6,missing-ZMB-1,Solar For health,,Zambia,ZMB,,,Non-VF,2,
7,missing-ZMB-2,Greening UNDP Office,222653.39,Zambia,ZMB,,"UNDP, UNICEF, UNFPA, UNCDF, RCO, UNDSS, UNCTAD, DCO.",Non-VF,1,
8,126170.0,Access to Clean and Renewable Energy,3379000.0,Malawi,MWI,http://open.undp.org/projects/00126170,UNDP,Non-VF,6,
9,6512.0,GEF Africa Minigrids Program,396125.0,Malawi,MWI,PIMS+,GEF,VF,3,
10,5728,LED and high efficiency transformers in SA,5000000.0,South Africa,ZAF,https://co.pims.undp.org/project/view?id=5728,GEF,VF,2,
11,5256,South Africa Wind Energy Project (Phase II),3554250.0,South Africa,ZAF,PIMS+,Department of Energy. South Africa,VF,4,
12,missing-ZAF-1,Just Energy Transition Platform,273333.0,South Africa,ZAF,,UNDP LVGA,Non-VF,1,
13,missing-ZAF-2,Just Inclusive Energy Transition ,1000000.0,South Africa,ZAF,,Japan,Non-VF,10,
14,5669.0,IMPRESS,6075828.0,Samoa,WSM,https://co.pims.undp.org/project/view?id=5669,GEF,VF,5,
15,1000418.0,CAP-IT,15175755.0,Samoa,WSM,https://www.undp.org/samoa/projects/cap-it-project,Government of Japan,Non-VF,5,
16,6037.0,AREAN,3321563.0,Niue,NIU,"PIMS+
https://www.thegef.org/projects-operations/projects/9752",GEF,VF,5,
17,120029.0,Sustainable Energy Programme,15436128.0,Lebanon,LBN,http://open.undp.org/projects/00120029,EU,Non-VF,2,
18,6468.0,Lebanon Sustainable Low-emission Transport Systems,3552968.0,Lebanon,LBN,"https://co.pims.undp.org/project-attachment/index?projectId=6468 
https://www.thegef.org/projects-operations/projects/10358 ",GEF,VF,1,
19,1001708.0,Improving energy security and promoting the transition to sustainable energy in Lebanon,24321900.0,Lebanon,LBN,https://undp.lightning.force.com/lightning/r/Project__c/a386N000005LkApQAK/view,KfW,Non-VF,1,
20,1001256.0,EU Support to Lebanon's Green Agenda - Sustainable Energy,20293291.0,Lebanon,LBN,https://undp.lightning.force.com/lightning/r/Project__c/a386N000005LZYGQA4/view,EU,Non-VF,1,
21,143571.0,BRA/22/007 Desenvolvimento Sul do Piaui,1733569.0,Brazil,BRA,https://open.undp.org/projects/00143571,,Non-VF,4,
22,6403.0,Electric Mobility Jamaica,1784862.0,Jamaica,JAM,PIMS+,GEF,VF,6,
23,6163,AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level,4416210.0,Algeria,DZA,PIMS+,GEF,VF,1,
24,145179,Support to Algeria energy transition,400000.0,Algeria,DZA,https://open.undp.org/projects/00145179,UNDP,Non-VF,1,
