,Project ID,Title,Link,Budget,Beneficiary Category,Indicator,Baseline,Target,Notes,Donors,Gender (% female),Category,Comments,Tag,SEH Taxonomy,RISE Taxonomy,Flagship,Indirect Category,Indirect Taxonomy,Output ID,Country Code,Country,Comment,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Comments ,Expected Outputs,Energy Percent,Donors ,Indirect Beneficiaries,Budget (USD),Unnamed: 13,Donor,Indirect Beneficaries,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 10,Gender (% female).1,Category.1,Comments.1,Unnamed: 8,Unnamed: 9,Indirect Beneficiries,Energy Budget,Budget (Nigerian),Indirect Beneficiary,Budget ,b,Unnamed: 11
0,117913.0,Résilience des communautés et des écosystèmes,http://open.undp.org/projects/00117913,3459600.0,Electricity Access,Nombre de ménages ayant accès à l’énergie solaire désagrégés par ménages diriogés par les hommes et les femmes,0,850 HH,"Nombre de ménages dirigés par les hommes: 650, nombre de ménages dirigés par les femmes: 200",UNDP,0.24,Non-VF,,j,Accelerating just energy transition,Electricity Access,,,,117913.0-1,TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,117913.0,Résilience des communautés et des écosystèmes,http://open.undp.org/projects/00117913,3459600.0,nan,Pourcentage des producteurs de charbon dans les localités cibles utilisant des techniques efficientes de carbonisation du bois avec un rendement supérieur à 30%,0,460,Il ya 576 productrices de chanbons qui ont été recensées dans 16 villages,UNDP,,Non-VF,to the CO: Please clarify if the target is percentage or estimate number of beneficiaries.,j,Accelerating just energy transition,Electricity Access,,,,117913.0-2,TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,117913.0,Résilience des communautés et des écosystèmes,http://open.undp.org/projects/00117913,3459600.0,nan,Pourcentatge des femmes productrices de charbon reconverties à d'autres activités génératrices de revenus,0,460,Il ya 576 productrices de chanbons qui ont été recensées dans 16 villages,UNDP,,Non-VF,to the CO: Please clarify if the target is percentage or estimate number of beneficiaries.,j,Accelerating just energy transition,Electricity Access,,,,117913.0-3,TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,134793.0,Accès aux énergies renouvelables en milieu rural au Togo,http://open.undp.org/projects/00134793,1431552.0,Electricity Access,"Nombre de ménages dans les villages ciblés, y compris les ménages dirigés par les femmes, ayant accès à l’énergie solaire ",0,1500 HH,"Nombre de ménages dirigés par les hommes: 1200, nombre de ménages dirigés par les femmes: 300",UNDP,,Non-VF,,j,Accelerating just energy transition,Electricity Access,,,,134793.0-1,TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,134793.0,Accès aux énergies renouvelables en milieu rural au Togo,http://open.undp.org/projects/00134793,1431552.0,nan,Environ 50 000 personnes au Total,10,50000,Environ 50 000 personnes au Total,UNDP,,Non-VF,,j,Accelerating just energy transition,Electricity Access,,,,134793.0-2,TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,134793.0,Accès aux énergies renouvelables en milieu rural au Togo,http://open.undp.org/projects/00134793,1431552.0,Medium Enterprises,Nombre de nouvelles entreprises créées utilisant l’énergie solaire dans les villages ciblés par le projet,0,250,"5 entreprises par village bénéficiaire, représentant 500 personnes au moins",UNDP,,Non-VF,,j,Accelerating just energy transition,Electricity Access,,,,134793.0-3,TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,91204.0,Apoyo a la Modernización de La Gestión Ambiental,https://open.undp.org/projects/00082182,4202031.0,Policy or Regulatory Framework,"Number of public environmental policies, plans and/or programs approved and being implemented.",7,16,"The modernization of Panama's environmental management model aims to strengthen the capacities of the Ministry of Environment to ensure sustainable development, through 5 priorities.","UNDP (TRAC 4000) CLIMATE PROMISE (28708) - NDC Partnership (PAF)
Aes Panamá S.R.L
Federal Ministry For The Environment, Nature Conservation And Nuclear Safety
Pan-Government",,,,,,,,,,91204.0-1,PAN,Panama,"Mediante este proyecto se elaboro la Hoja de Ruta Nexo Mujer y Energía liderado por la Secretaria de Energia, en la que participaron 788 personas (529 mujeres y 259 hombres) de los sectores público, privado, sociedad civil y organismos internacionales.  Esto para la segunda fase de la transición energética. Ver Resolución N.°MIPRE-2022-0010543 de 22 de marzo de 2022 – Que adopta la Hoja de Ruta Nexo Mujer y Energía en la República de Panamá.  de adjunta Revisión Sustantiva 001/2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,133871.0,Beyond Recovery COVID19 Energy,"https://www.undp.org/es/panama/noticias/dos-aguas-y-un-proyecto-de-energia-solar-para-alcanzar-energia-sostenible

https://open.undp.org/projects/00133871",473000.0,Energy (MW added),IRRF: 2.1.1.1 Country has targets for low emission and climate-resilient development ,0,1,"Adoption of a photovoltaic (PV) solar microgrid system for productive use in one of the communities in the Panama Canal Hydrographic Basin, with a gender approach","UNDP (TRAC 4001) Donor 00012
",,,,,,,,,,133871.0-1,PAN,Panama,"Con este proyecto se instalaron 34 paneles solares en 34 hogares de la comunidad de Dos Aguas en el distrito de Capira, provincia de Panama Oeste.  Además de 1 panel solar en la Cooperativa denominada Dos Aguas Progresa e instalaciones solares en las 2 cooperativas de la comunidad de Bajo Bonito en Capira para el enfriamiento del culantro y su comercialización  
Con esto PNUD impactó a un total de 114 personas: 45 hombres, 37 mujeres, 32 niños y niñas (17 niños y 15 niñas)
Este trabajo se realizó en conjunto con la Autoridad del Canal de Panamá (ACP), la Oficina de Electrificación Rural (OER), la Secretaría Nacional de Energía (SNE), el Instituto Panameño Autónomo Cooperativo (IPACOOP), Iluminando tu Camino, y equipo de Levante- Grupo Meña.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,133871.0,Beyond Recovery COVID19 Energy,"https://www.undp.org/es/panama/noticias/dos-aguas-y-un-proyecto-de-energia-solar-para-alcanzar-energia-sostenible

https://open.undp.org/projects/00133871",473000.0,Policy or Regulatory Framework,IRRF: 2.1.1.2 Country has public-private partnerships at national level to improve the enabling framework for economic diversification and green growth ,0,1,,,,,,,,,,,,133871.0-2,PAN,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6613,Africa Mini-grids Program,PIMS+,1363947.0,Agricultural Services,"Number of direct beneficiaries benefitting from energy access via minigrids, disaggregated by gender and by customer segment (residential, social, commercial/productive use) as co-benefit of GEF investment",0.0,"Total of 4,396 beneficiaries (2242 women), 4,190 residential, 80 social services, 126 people (commercial/PUE)",,,,,,,Accelerating just energy transition,Electricity Access,,,,6613-1,ZMB,Zambia,,,,,"Project 136701 is missing data. Also, please make sure the Target values are numeric, and move the explaining information to the indicator or Notes, especially data needed to convert these values to # of beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,
