,Country Code,Electricity access,Clean cooking,Energy efficiency,Renewable energy,Overall
0,ABW,0.0,,1065.85,7972.558000000001,3012.802666666667
1,AFE,372635511.308985,133609565.1877515,3124771.9369101506,,169789949.47788224
2,AFG,896362.4786530153,12938780.36,380758.6752134699,7213759.773000001,5357415.3217166215
3,AFW,223388247.60865742,69480072.73143668,2428008.543913426,,98432109.62800251
4,AGO,17753665.087749463,16781099.972,156748.20912250536,18282038.9934,13243388.065567993
5,ALB,0.0,2307171.2369999997,28378.49,1140815.2980000002,869091.2562500001
6,AND,0.0,77700.0,777.0,14296.8,23193.45
7,ARB,43869885.418532915,392138590.45623887,4053584.105814671,,146687353.32686216
8,ARE,0.0,9287289.0,92872.89,62224.83630000001,2360596.6815750003
9,ARG,0.0,45331386.236999996,453767.63,4873464.3462000005,12664654.5533
10,ARM,0.0,2752301.4480000003,28056.08,290099.8672,767614.3488
11,ASM,,,,230.945,230.945
12,ATG,0.0,92664.0,926.64,843.2424000000001,23608.4706
13,AUS,0.0,25655289.0,256552.89,2598880.7757,7127680.666425
14,AUT,0.0,8916864.0,89168.64,3011224.9728,3004314.4032
15,AZE,0.0,9770141.127999999,100931.21,163508.5602,2508645.22455
16,BDI,10786115.459858675,24440.453999999998,14341.115401413255,10359086.4279,5295995.864290021
17,BEL,0.0,11538604.0,115386.04,1178091.4684000001,3208020.3770999997
18,BEN,7407484.728026271,505724.92,52356.38271973729,5875259.258099999,3460206.322211502
19,BFA,17442530.317819923,2281398.356,40800.956821800784,13957422.961,8430538.147910431
20,BGD,6362001.244339007,41855237.75,1610589.4975566098,41436685.3725,22816128.466098905
21,BGR,20802.25648745756,,69132.12743512543,1341038.501,476990.96164086094
22,BHR,0.0,1477469.0,14774.69,0.0,373060.9225
23,BHS,0.0,406471.0,4064.71,4633.769399999999,103792.36985
24,BIH,0.0,1499919.9640000002,33184.07,1228474.2714000002,690394.5763500001
25,BLR,0.0,9342432.192,93799.52,734450.2416,2542670.4883999997
26,BLZ,11400.047627381373,324230.141,3835.209523726186,114882.51890000001,113586.9792627769
27,BMU,0.0,,638.93,536.7012,391.8770666666666
28,BOL,291943.8505896699,10277035.481999999,116442.1814941033,1034865.2454,2930071.6898709433
29,BRA,0.0,204455255.536,2131963.04,101417481.8128,77001175.0972
30,BRB,0.0,280693.0,2806.93,12097.868299999998,73899.44957499999
31,BRN,0.0,441725.0,4417.25,44.1725,111546.605625
32,BTN,0.0,619549.812,7725.06,635540.6862,315703.88955
33,BWA,713126.0268597878,1647522.094,18332.759731402126,651114.9914,757523.9679977975
34,CAF,4516717.464588784,42744.16,8263.02535411216,4876040.052,2360941.175485724
35,CAN,0.0,38037204.0,380372.04,8410025.804399999,11706900.461099999
36,CEB,20802.258800434436,99637987.05536488,1021593.2174119956,,33560127.51052577
37,CHE,0.0,8638167.0,86381.67,2138810.1492000003,2715839.7048
38,CHI,0.0,,1711.13,,855.565
39,CHL,0.0,19300315.0,193003.15,4875259.569,6092144.429749999
40,CHN,0.0,1120413400.0000002,14111000.0,203903950.0,334607087.50000006
41,CIV,8129569.888847733,8526149.22,186822.20111152268,16746644.034000002,8397296.335989814
42,CMR,9345693.392230013,5801548.052999999,171453.93607769988,21036572.186699998,9088816.892001927
43,COD,75118209.32315798,3435567.068,177349.54676842023,89361885.03359999,42023252.742881596
44,COG,2878622.7246879553,1990058.726,28235.512753120445,3915682.8858,2203149.962310269
45,COL,0.0,47467376.984000005,509306.62,15645899.366399998,15905645.7426
46,COM,106920.69342244556,67717.944,6992.453065775544,430734.49380000005,153091.3960720553
47,CPV,34016.019652576,471938.4,5486.23980347424,129287.81600000002,160182.11886401256
48,CRI,5123.02661649364,4902811.485,51179.81973383506,1832022.3479999998,1697784.169837582
49,CSS,89696.37617605393,6660340.072725476,73550.71623823946,,2274529.0550465896
50,CUB,0.0,10600054.724,113006.98,2434170.3492,3286808.0132999998
51,CUW,0.0,,1549.47,4152.5796,1900.6832000000002
52,CYM,0.0,,673.11,0.0,224.37
53,CYP,0.0,1237537.0,12375.37,149123.2085,349758.894625
54,CZE,0.0,10697858.0,106978.58,1695610.4929999998,3125111.7682499997
55,DEU,0.0,83160871.0,831608.71,14278721.550700001,24567800.315174997
56,DJI,416798.44726275245,105200.054,6733.575527372476,304371.55520000006,208275.90799753123
57,DMA,0.0,64003.555,719.95,5795.5975,17629.775625
58,DNK,0.0,5831404.0,58314.04,2187942.7808000003,2019415.2052000002
59,DOM,0.0,10064692.56,109996.64,1537753.0272,2928110.5568000004
60,DZA,85108.53921003854,43321311.002,433665.5746078996,69522.66560000001,10977401.945354484
