,Region,Category,Subcategory,VF or Non-VF,Direct Beneficiaries,Energy Access,Productive Use,Budget Sum (M USD),Project Count,Country Count
0,All,All,All,Total,82473622.9012348,55131699.815,27341923.086234815,4228226005.4849195,398,132
1,All,Economy,Low income,Total,35798980.09,22534256.090000004,13264724.0,2276764138.69,74,26
2,All,Economy,High income,Total,1075960.0,75830.0,1000130.0,33431822.0,11,7
3,All,Economy,Upper middle income,Total,14472200.23,10255051.57,4217148.66,807439486.01,144,44
4,All,Economy,Lower middle income,Total,26615829.581234813,17756069.155,8859760.426234812,1053143446.7849188,162,52
5,All,HDI,Low,Total,37340578.75,23454872.15,13885706.6,1055385019.9629188,105,32
6,All,HDI,Very High,Total,2395126.06,906440.0,1488686.06,159677261.0,48,17
7,All,HDI,Medium,Total,17700324.48123481,11960116.255,5740208.226234811,2196297585.51,103,41
8,All,HDI,High,Total,20064593.02,13838158.82,6226434.199999999,745184452.0120001,130,37
9,All,Beneficiary Tier,Access to Energy,Total,55131699.815,55131699.815,0.0,3384205523.902,193,101
10,All,Beneficiary Tier,Productive Use of Energy,Total,27341923.086234815,0.0,27341923.086234815,1391396342.2549188,156,84
11,All,Beneficiary Tier,Market Development,Total,0.0,0.0,0.0,300886569.75,48,35
12,All,Beneficiary Tier,Capacity Building,Total,0.0,0.0,0.0,222127213.75,38,29
13,All,Beneficiary Tier,Policy and Regulator Frameworks,Total,0.0,0.0,0.0,475803825.29,108,69
14,All,Beneficiary Tier,Other,Total,0.0,0.0,0.0,170453391.0,20,14
15,All,Beneficiary Category,Electricity Access,Total,42893856.4,42893856.4,0.0,1638842801.1,123,76
16,All,Beneficiary Category,nan,Total,0.0,0.0,0.0,626968836.36,67,46
17,All,Beneficiary Category,Medium Enterprises,Total,0.0,0.0,0.0,146758929.75,25,18
18,All,Beneficiary Category,Policy or Regulatory Framework,Total,0.0,0.0,0.0,475803825.29,108,69
19,All,Beneficiary Category,Energy (MW added),Total,9510153.275,9510153.275,0.0,1979558900.552,97,66
20,All,Beneficiary Category,Agriculture and Food System,Total,544526.8859999999,0.0,544526.8859999999,144373233.71,32,22
21,All,Beneficiary Category,GHG Emissions Reduction,Total,0.0,0.0,0.0,256402126.91,46,34
22,All,Beneficiary Category,Health Services,Total,11384211.0,0.0,11384211.0,832618645.3141885,30,25
23,All,Beneficiary Category,Education Services,Total,231560.6,0.0,231560.6,804083358.6485339,28,22
24,All,Beneficiary Category,Energy Efficiency Services,Total,0.0,0.0,0.0,285619054.0,36,24
25,All,Beneficiary Category,Capacity Building Training,Total,0.0,0.0,0.0,796425896.19,91,56
26,All,Beneficiary Category,Small Enterprises,Total,0.0,0.0,0.0,177406050.0,28,25
27,All,Beneficiary Category,Transportation and E-mobility Services,Total,4387666.640234811,0.0,4387666.640234811,89851415.28999999,29,25
28,All,Beneficiary Category,Other,Total,0.0,0.0,0.0,170453391.0,20,14
29,All,Beneficiary Category,Other Energy Services,Total,1529279.0,0.0,1529279.0,116991343.8,33,24
30,All,Beneficiary Category,Entrepreneurship Training,Total,0.0,0.0,0.0,99933843.0,17,15
31,All,Beneficiary Category,Clean Cooking,Total,2727690.1399999997,2727690.1399999997,0.0,127430596.0,31,27
32,All,Beneficiary Category,Water Services,Total,5363163.959999999,0.0,5363163.959999999,835275491.8534031,30,23
33,All,Beneficiary Category,Market Intervention,Total,0.0,0.0,0.0,136948212.28,9,9
34,All,Beneficiary Category,Energy Infrastructure Services,Total,3901515.0,0.0,3901515.0,99654904.4267513,22,14
35,All,Beneficiary Category,Campaign Participant,Total,0.0,0.0,0.0,124245622.75,23,17
36,All,Beneficiary Category,Financing support,Total,0.0,0.0,0.0,9479697.0,6,6
37,All,Beneficiary Category,Health services,Total,0.0,0.0,0.0,64600000.0,1,1
38,All,Beneficiary Category,Other energy services,Total,0.0,0.0,0.0,1633915.35,2,2
39,All,Beneficiary Category,Electricity Access / Energy (MW added),Total,0.0,0.0,0.0,4622265.0,1,1
40,All,Beneficiary Category,Energy infrastructure services,Total,0.0,0.0,0.0,116275.0,1,1
41,All,Beneficiary Category,Energy Storage (MW),Total,0.0,0.0,0.0,28210000.0,1,1
42,All,Beneficiary Category,Energy access,Total,0.0,0.0,0.0,200000.0,1,1
43,All,Beneficiary Category,water services,Total,0.0,0.0,0.0,200000.0,1,1
44,All,Beneficiary Category,Capacity Training,Total,0.0,0.0,0.0,36250760.0,1,1
45,All,Beneficiary Category,Energy Access - disaster affected communities -,Total,0.0,0.0,0.0,-1.0,1,1
46,All,Beneficiary Category,Energy Access,Total,0.0,0.0,0.0,-1.0,1,1
47,All,Beneficiary Category,Energy Transition,Total,0.0,0.0,0.0,30892000.0,1,1
48,All,Beneficiary Category,"Households and Women, Policy and Regulatory Framework",Total,0.0,0.0,0.0,241888.0,1,1
49,All,Beneficiary Category,"Artisanal Palm Oil Producers
General Public
Electric Vehicle Businesses",Total,0.0,0.0,0.0,500000.0,1,1
50,All,All,All,VF,16791491.99023481,10613162.35,6178329.640234811,509736691.75,105,70
51,All,Economy,Low income,VF,4336599.5,4299150.5,37449.0,111374374.0,19,13
52,All,Economy,Upper middle income,VF,4142945.75,1448543.75,2694402.0,218755466.0,38,26
53,All,Economy,Lower middle income,VF,8238696.740234811,4792508.1,3446188.640234811,164065643.75,41,25
54,All,Economy,High income,VF,28505.0,28375.0,130.0,8493161.0,4,3
55,All,HDI,Medium,VF,4104187.9902348113,2789390.35,1314797.6402348115,126895130.75,29,21
56,All,HDI,Low,VF,4836896.5,4804383.5,32513.0,151881986.0,26,15
57,All,HDI,High,VF,7187026.5,2814696.5,4372330.0,169671292.0,32,22
58,All,HDI,Very High,VF,551966.0,93437.0,458529.0,50964089.0,14,8
59,All,Beneficiary Tier,Access to Energy,VF,10613162.35,10613162.35,0.0,279138403.75,65,52
60,All,Beneficiary Tier,Productive Use of Energy,VF,6178329.640234811,0.0,6178329.640234811,152028035.75,30,28
61,All,Beneficiary Tier,Market Development,VF,0.0,0.0,0.0,113731261.75,13,11
62,All,Beneficiary Tier,Capacity Building,VF,0.0,0.0,0.0,10051785.75,4,4
63,All,Beneficiary Tier,Policy and Regulator Frameworks,VF,0.0,0.0,0.0,185718582.75,28,27
64,All,Beneficiary Tier,Other,VF,0.0,0.0,0.0,27569617.0,10,7
65,All,Beneficiary Category,Agriculture and Food System,VF,10936.0,0.0,10936.0,6743399.0,2,2
66,All,Beneficiary Category,GHG Emissions Reduction,VF,0.0,0.0,0.0,170891586.0,29,25
67,All,Beneficiary Category,Energy (MW added),VF,3159380.0,3159380.0,0.0,119133277.75,32,29
68,All,Beneficiary Category,Electricity Access,VF,7099572.35,7099572.35,0.0,179575786.75,41,34
69,All,Beneficiary Category,nan,VF,0.0,0.0,0.0,86974225.0,22,19
70,All,Beneficiary Category,Energy Efficiency Services,VF,0.0,0.0,0.0,136744497.0,15,14
71,All,Beneficiary Category,Policy or Regulatory Framework,VF,0.0,0.0,0.0,185718582.75,28,27
72,All,Beneficiary Category,Capacity Building Training,VF,0.0,0.0,0.0,157325183.75,25,21
73,All,Beneficiary Category,Other Energy Services,VF,780996.0,0.0,780996.0,26245151.75,11,11
74,All,Beneficiary Category,Transportation and E-mobility Services,VF,2643918.640234811,0.0,2643918.640234811,27758708.0,10,10
75,All,Beneficiary Category,Market Intervention,VF,0.0,0.0,0.0,92383802.75,7,7
76,All,Beneficiary Category,Water Services,VF,157699.0,0.0,157699.0,46621231.0,3,3
77,All,Beneficiary Category,Financing support,VF,0.0,0.0,0.0,3537432.0,3,3
78,All,Beneficiary Category,Other,VF,0.0,0.0,0.0,27569617.0,10,7
79,All,Beneficiary Category,Small Enterprises,VF,0.0,0.0,0.0,98156149.0,8,8
80,All,Beneficiary Category,Entrepreneurship Training,VF,0.0,0.0,0.0,-1.0,1,1
81,All,Beneficiary Category,Energy Infrastructure Services,VF,2377195.0,0.0,2377195.0,26576046.0,4,4
82,All,Beneficiary Category,Health Services,VF,180085.0,0.0,180085.0,26824566.0,3,3
83,All,Beneficiary Category,Clean Cooking,VF,354210.0,354210.0,0.0,41967671.0,10,9
84,All,Beneficiary Category,Education Services,VF,27500.0,0.0,27500.0,924566.0,1,1
85,All,Beneficiary Category,Campaign Participant,VF,0.0,0.0,0.0,10051786.75,3,3
86,All,Beneficiary Category,Medium Enterprises,VF,0.0,0.0,0.0,15575112.75,5,5
87,All,All,All,Non-VF,65047335.911,43983742.465,21063593.446,3661812205.8549185,281,107
88,All,Economy,Low income,Non-VF,31462380.59,18235105.59,13227275.0,2164909250.3399997,50,25
89,All,Economy,High income,Non-VF,1047455.0,47455.0,1000000.0,24938661.0,7,6
90,All,Economy,Upper middle income,Non-VF,10329254.479999999,8806507.82,1522746.6600000001,557627610.48,104,34
91,All,Economy,Lower middle income,Non-VF,17742337.841,12428766.055,5313571.786,863937619.0349188,116,41
92,All,HDI,Low,Non-VF,32503682.25,18650488.65,13853193.6,872130519.6129187,73,30
93,All,HDI,Very High,Non-VF,1843160.06,813003.0,1030157.06,108713172.0,34,14
94,All,HDI,Medium,Non-VF,13066136.491,8640725.905,4425410.586,2046782454.7600002,72,30
95,All,HDI,High,Non-VF,12772771.52,11018667.32,1754104.2000000002,572828566.482,94,30
96,All,Beneficiary Tier,Access to Energy,Non-VF,43983742.465,43983742.465,0.0,3079974024.152,123,73
97,All,Beneficiary Tier,Productive Use of Energy,Non-VF,21063593.446,0.0,21063593.446,1233813897.9749188,122,63
98,All,Beneficiary Tier,Market Development,Non-VF,0.0,0.0,0.0,187155308.0,35,27
99,All,Beneficiary Tier,Capacity Building,Non-VF,0.0,0.0,0.0,212075428.0,34,26
100,All,Beneficiary Tier,Policy and Regulator Frameworks,Non-VF,0.0,0.0,0.0,289920833.01,79,49
101,All,Beneficiary Tier,Other,Non-VF,0.0,0.0,0.0,142883774.0,10,9
102,All,Beneficiary Category,Electricity Access,Non-VF,35789284.05,35789284.05,0.0,1455452214.35,80,54
103,All,Beneficiary Category,nan,Non-VF,0.0,0.0,0.0,538224612.36,41,27
104,All,Beneficiary Category,Medium Enterprises,Non-VF,0.0,0.0,0.0,131183817.0,20,15
105,All,Beneficiary Category,Policy or Regulatory Framework,Non-VF,0.0,0.0,0.0,289920833.01,79,49
106,All,Beneficiary Category,Energy (MW added),Non-VF,5820978.275,5820978.275,0.0,1839147326.802,62,42
107,All,Beneficiary Category,Health Services,Non-VF,11204126.0,0.0,11204126.0,805794080.3141885,26,22
108,All,Beneficiary Category,Education Services,Non-VF,204060.6,0.0,204060.6,799538792.648534,26,20
109,All,Beneficiary Category,Capacity Building Training,Non-VF,0.0,0.0,0.0,638936302.91,65,41
110,All,Beneficiary Category,Small Enterprises,Non-VF,0.0,0.0,0.0,79249901.0,20,19
111,All,Beneficiary Category,Transportation and E-mobility Services,Non-VF,1743748.0,0.0,1743748.0,61928297.76,18,17
112,All,Beneficiary Category,Other,Non-VF,0.0,0.0,0.0,142883774.0,10,9
113,All,Beneficiary Category,Other Energy Services,Non-VF,748283.0,0.0,748283.0,90746192.05,22,16
114,All,Beneficiary Category,Entrepreneurship Training,Non-VF,0.0,0.0,0.0,99933844.0,16,15
115,All,Beneficiary Category,Clean Cooking,Non-VF,2373480.14,2373480.14,0.0,85462925.0,21,18
116,All,Beneficiary Category,Water Services,Non-VF,5105464.959999999,0.0,5105464.959999999,786884260.8534031,26,19
117,All,Beneficiary Category,Agriculture and Food System,Non-VF,533590.8859999999,0.0,533590.8859999999,137629834.71,30,20
118,All,Beneficiary Category,GHG Emissions Reduction,Non-VF,0.0,0.0,0.0,85002244.91,16,12
119,All,Beneficiary Category,Energy Efficiency Services,Non-VF,0.0,0.0,0.0,148874557.0,21,13
120,All,Beneficiary Category,Energy Infrastructure Services,Non-VF,1524320.0,0.0,1524320.0,73078858.4267513,18,11
121,All,Beneficiary Category,Campaign Participant,Non-VF,0.0,0.0,0.0,114193836.0,20,14
122,All,Beneficiary Category,Health services,Non-VF,0.0,0.0,0.0,64600000.0,1,1
123,All,Beneficiary Category,Electricity Access / Energy (MW added),Non-VF,0.0,0.0,0.0,4622265.0,1,1
124,All,Beneficiary Category,Financing support,Non-VF,0.0,0.0,0.0,5942265.0,3,3
125,All,Beneficiary Category,Energy infrastructure services,Non-VF,0.0,0.0,0.0,116275.0,1,1
126,All,Beneficiary Category,Energy Storage (MW),Non-VF,0.0,0.0,0.0,28210000.0,1,1
127,All,Beneficiary Category,Market Intervention,Non-VF,0.0,0.0,0.0,44400000.0,1,1
128,All,Beneficiary Category,Energy access,Non-VF,0.0,0.0,0.0,200000.0,1,1
129,All,Beneficiary Category,water services,Non-VF,0.0,0.0,0.0,200000.0,1,1
130,All,Beneficiary Category,Capacity Training,Non-VF,0.0,0.0,0.0,36250760.0,1,1
131,All,Beneficiary Category,Energy Access - disaster affected communities -,Non-VF,0.0,0.0,0.0,-1.0,1,1
132,All,Beneficiary Category,Energy Access,Non-VF,0.0,0.0,0.0,-1.0,1,1
133,All,Beneficiary Category,"Artisanal Palm Oil Producers
General Public
Electric Vehicle Businesses",Non-VF,0.0,0.0,0.0,500000.0,1,1
134,All,Beneficiary Category,Other energy services,Non-VF,0.0,0.0,0.0,1348200.0,1,1
135,RBLAC,All,All,Total,1718949.4000000001,326228.8,1392720.6,1509010090.44,48,24
136,RBLAC,Economy,High income,Total,1052895.0,52765.0,1000130.0,16637882.0,8,4
137,RBLAC,Economy,Upper middle income,Total,530654.4,229463.8,301190.6,80345739.44,33,15
